"id","name","birthdate","deathdate"
1,"50 Cent","1975-07-06T00:00:00.000",null
2,"A. Michael Baldwin","1963-04-04T00:00:00.000",null
3,"A. Raven Cruz",null,null
4,"A.J. Buckley","1978-02-09T00:00:00.000",null
5,"A.J. DeLucia",null,null
6,"A.J. Langer","1974-05-22T00:00:00.000",null
7,"Aaliyah","1979-01-16T00:00:00.000","2001-08-25T00:00:00.000"
8,"Aaron Ashmore","1979-10-07T00:00:00.000",null
9,"Aaron Hann",null,null
10,"Aaron Hill","1983-04-23T00:00:00.000",null
11,"Aaron Hughes",null,null
12,"Aaron Kwok","1965-10-26T00:00:00.000",null
13,"Aaron Schneider",null,null
14,"Aaron Seltzer","1974-01-12T00:00:00.000",null
15,"Aaron Stanford","1976-12-27T00:00:00.000",null
16,"Aaron Staton",null,null
17,"Aaron Yoo","1979-05-12T00:00:00.000",null
18,"Aasheekaa Bathija",null,null
19,"Aasif Mandvi","1966-03-05T00:00:00.000",null
20,"Abbie Cornish","1982-08-07T00:00:00.000",null
21,"Abby Elliott","1987-06-16T00:00:00.000",null
22,"Abby Mukiibi Nkaaga",null,null
23,"Abel Ferrara","1951-07-19T00:00:00.000",null
24,"Abhishek Bachchan","1976-02-05T00:00:00.000",null
25,"Abigail Evans",null,null
26,"Abigail Spencer","1981-08-04T00:00:00.000",null
27,"Abraham Benrubi","1969-10-04T00:00:00.000",null
28,"Ace Marrero","1982-07-28T00:00:00.000",null
29,"Adam Alexi-Malle","1964-09-24T00:00:00.000",null
30,"Adam Arkin","1956-08-19T00:00:00.000",null
31,"Adam Baldwin","1962-02-27T00:00:00.000",null
32,"Adam Boyer",null,null
33,"Adam Brooks","1956-09-03T00:00:00.000",null
34,"Adam Brown",null,null
35,"Adam Butcher","1988-10-20T00:00:00.000",null
36,"Adam Carolla","1964-05-27T00:00:00.000",null
37,"Adam Copeland","1973-10-30T00:00:00.000",null
38,"Adam DiMarco","1990-04-14T00:00:00.000",null
39,"Adam Garcia","1973-06-01T00:00:00.000",null
40,"Adam Goldberg","1970-10-25T00:00:00.000",null
41,"Adam Green","1975-03-31T00:00:00.000",null
42,"Adam Hicks","1992-11-28T00:00:00.000",null
43,"Adam Jay Epstein",null,null
44,"Adam Lamberg","1984-09-14T00:00:00.000",null
45,"Adam LeFevre","1950-08-11T00:00:00.000",null
46,"Adam Marcus",null,null
47,"Adam McKay","1968-04-17T00:00:00.000",null
48,"Adam Rapp","1968-06-15T00:00:00.000",null
49,"Adam Ratcliffe",null,null
50,"Adam Rayner",null,null
51,"Adam Rifkin","1966-12-31T00:00:00.000",null
52,"Adam Sandler","1966-09-09T00:00:00.000",null
53,"Adam Scott","1973-04-03T00:00:00.000",null
54,"Adam Shankman","1964-11-27T00:00:00.000",null
55,"Adam Trese","1969-01-04T00:00:00.000",null
56,"Adel Karam",null,null
57,"Adelaide Kane","1990-08-09T00:00:00.000",null
58,"Aden Young",null,null
59,"Adhir Kalyan","1983-08-04T00:00:00.000",null
60,"Aditya Roy Kapoor","1985-11-16T00:00:00.000",null
61,"Adolphe Menjou","1890-02-18T00:00:00.000","1963-10-29T00:00:00.000"
62,"Adrian Alonso","1994-04-06T00:00:00.000",null
63,"Adrian Gonzalez","1938-05-08T00:00:00.000","1998-10-23T00:00:00.000"
64,"Adrian Holmes","1974-03-31T00:00:00.000",null
65,"Adrian Lester","1968-08-14T00:00:00.000",null
66,"Adrian Lyne","1941-03-04T00:00:00.000",null
67,"Adrian Martinez",null,null
68,"Adrian Pasdar","1965-04-30T00:00:00.000",null
69,"Adrian Paul","1959-05-29T00:00:00.000",null
70,"Adriana Barraza","1956-03-05T00:00:00.000",null
71,"Adriana Caselotti","1916-05-16T00:00:00.000","1997-01-19T00:00:00.000"
72,"Adriane Lenox","1956-09-11T00:00:00.000",null
73,"Adriano Giannini","1971-05-10T00:00:00.000",null
74,"Adrien Dorval","1963-03-22T00:00:00.000",null
75,"Adrienne Barbeau","1945-06-11T00:00:00.000",null
76,"Adrienne Frantz","1978-06-07T00:00:00.000",null
77,"Adrienne King","1955-07-21T00:00:00.000",null
78,"Adrienne Pickering","1981-02-22T00:00:00.000",null
79,"Adrienne Shelly","1966-06-24T00:00:00.000","2006-11-01T00:00:00.000"
80,"Agame Malembo-Emene",null,null
81,"Agata Kulesza","1971-09-27T00:00:00.000",null
82,"Agata Trzebuchowska",null,null
83,"Agnes Bruckner","1985-08-16T00:00:00.000",null
84,"Agnes Moorehead","1900-12-06T00:00:00.000","1974-04-30T00:00:00.000"
85,"Agnia Ditkovskite","1988-05-11T00:00:00.000",null
86,"Agnieszka Holland","1948-11-28T00:00:00.000",null
87,"Agnieszka Wojtowicz-Vosloo",null,null
88,"Agustín Díaz Yanes",null,null
89,"Ah-sung Ko","1992-08-10T00:00:00.000",null
90,"Ahmad Massad",null,null
91,"Ahmed Best","1973-08-19T00:00:00.000",null
92,"Ahmed Hassan",null,null
93,"Ahmet Ertegun","1923-07-31T00:00:00.000","2006-12-14T00:00:00.000"
94,"Ahna O'Reilly","1984-09-21T00:00:00.000",null
95,"Ahney Her",null,null
96,"Aida Elkashef",null,null
97,"Aida Folch","1986-11-24T00:00:00.000",null
98,"Aida Turturro","1962-09-25T00:00:00.000",null
99,"Aidan McArdle",null,null
100,"Aidan Quinn","1959-03-08T00:00:00.000",null
101,"Aidan Turner","1983-06-19T00:00:00.000",null
102,"Aimee Garcia","1978-11-28T00:00:00.000",null
103,"Aimee Teegarden","1989-10-10T00:00:00.000",null
104,"Aisha Hinds","1975-11-13T00:00:00.000",null
105,"Aisha Tyler","1970-09-18T00:00:00.000",null
106,"Aitana Sánchez-Gijón","1968-11-05T00:00:00.000",null
107,"AJ Michalka","1991-04-10T00:00:00.000",null
108,"Ajay Naidu","1972-02-12T00:00:00.000",null
109,"Aki Aleong","1934-12-19T00:00:00.000",null
110,"Aki Kaurismäki","1957-04-04T00:00:00.000",null
111,"Akie Kotabe","1980-07-18T00:00:00.000",null
112,"Akima",null,"2014-07-27T00:00:00.000"
113,"Akira Kurosawa","1910-03-23T00:00:00.000","1998-09-06T00:00:00.000"
114,"Akira Terao","1947-05-18T00:00:00.000",null
115,"Akiva Goldsman","1962-07-07T00:00:00.000",null
116,"Akiva Schaffer","1977-12-01T00:00:00.000",null
117,"Akon","1973-04-16T00:00:00.000",null
118,"Aksel Hennie","1975-10-29T00:00:00.000",null
119,"Akshaye Khanna","1975-03-28T00:00:00.000",null
120,"Al Cliver","1951-07-16T00:00:00.000",null
121,"Al Franklin",null,null
122,"Al Freeman Jr.","1931-03-21T00:00:00.000","2012-08-09T00:00:00.000"
123,"Al Gore","1948-03-31T00:00:00.000",null
124,"Al Leong","1952-09-30T00:00:00.000",null
125,"Al Pacino","1940-04-25T00:00:00.000",null
126,"Al Roker","1954-08-20T00:00:00.000",null
127,"Al Sapienza","1956-07-31T00:00:00.000",null
128,"Al Silliman Jr.","1941-04-07T00:00:00.000",null
129,"Alain Delon","1935-11-08T00:00:00.000",null
130,"Alain Resnais","1922-06-03T00:00:00.000","2014-03-01T00:00:00.000"
131,"Alan Alda","1936-01-28T00:00:00.000",null
132,"Alan Autry","1952-07-31T00:00:00.000",null
133,"Alan Bates","1934-02-17T00:00:00.000","2003-12-27T00:00:00.000"
134,"Alan Brent",null,null
135,"Alan Cohn","1957-01-12T00:00:00.000",null
136,"Alan D. Purwin","1961-08-28T00:00:00.000","2015-09-11T00:00:00.000"
137,"Alan Dale","1947-05-06T00:00:00.000",null
138,"Alan David","1947-11-30T00:00:00.000",null
139,"Alan Ford","1938-02-23T00:00:00.000",null
140,"Alan Hale","1947-05-06T00:00:00.000",null
141,"Alan Hale Jr.","1921-03-08T00:00:00.000","1990-01-02T00:00:00.000"
142,"Alan J. Pakula","1928-04-07T00:00:00.000","1998-11-19T00:00:00.000"
143,"Alan Jacobs",null,null
144,"Alan Metter","1933-08-19T00:00:00.000",null
145,"Alan Oppenheimer","1930-04-23T00:00:00.000",null
146,"Alan Parker","1944-02-14T00:00:00.000",null
147,"Alan Pietruszewski",null,null
148,"Alan Poul",null,null
149,"Alan Rickman","1946-02-21T00:00:00.000","2016-01-14T00:00:00.000"
150,"Alan Ruck","1956-07-01T00:00:00.000",null
151,"Alan Rudolph","1943-12-18T00:00:00.000",null
152,"Alan Shapiro",null,null
153,"Alan Taylor",null,null
154,"Alan Van Sprang","1971-06-19T00:00:00.000",null
155,"Alan Williams",null,null
156,"Alan Young","1919-11-19T00:00:00.000","2016-05-19T00:00:00.000"
